,genre,artist,track,track_id,popularity,danceability,instrumentalness,favorite,prediction
139,R&B,Olivia O'Brien,Love Myself,4XzgjxGKqULifVf7mnDIQK,68,0.653,0.0,0,1
144,R&B,Usher,You Make Me Wanna...,47TqCCnEliDp8NRDyIQoQq,69,0.7609999999999999,0.0,0,1
154,R&B,SZA,Childs Play (feat. Chance the Rapper),7GPstnufSTScEaw9dMxO9H,65,0.759,0.0,0,1
156,R&B,Roy Woods,Get You Good,2yTTfOaptQVJiocgjoQFfi,68,0.69,0.0,0,1
161,R&B,Rihanna,Hate That I Love You,7iu0WYLdo4yksKf3seaxzI,72,0.637,0.0,0,1
177,R&B,Yuna,Crush,3Txcx4jhuiTZSvhAL0WaRc,65,0.6779999999999999,3.78e-06,0,1
183,R&B,The Weeknd,Attention,6pDVjCUA3B1vg9waKutAsv,67,0.6709999999999999,0.0002,0,1
189,R&B,JP Saxe,The Few Things (with Charlotte Lawrence),7GajeLvMksa794ZEQXwRSy,67,0.536,5.88e-06,0,1
194,R&B,Iggy Azalea,Black Widow,7pNC5ZIKtwUK0ReSpM3P9f,65,0.741,0.00018899999999999999,0,1
196,R&B,PARTYNEXTDOOR,Not Nice,4STaHtfguDMkWbPEo6Fwcx,69,0.598,0.00132,0,1
197,R&B,Tory Lanez,Pa Mi (with Ozuna),0CYLDwvvpJQySLA5CvqvSl,71,0.596,0.0,0,1
200,R&B,Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),7nD9nN3jord9wWcfW3Gkcm,70,0.6890000000000001,0.0,0,1
205,R&B,Nao,If You Ever (feat. 6LACK),5PkZ0mhNgfuz7SqiuruKlh,65,0.488,3.0299999999999998e-05,0,1
207,R&B,Mario,How Do I Breathe,174rZBKJAqD10VBnOjlQQ3,67,0.684,1.08e-06,0,1
208,R&B,Jagged Edge,Where the Party At,5mNV8Mz59bzyuQ53gTw0c0,70,0.596,0.0,0,1
226,R&B,Beyoncé,Countdown,3axkNosdVQLZiq1HakuGhc,66,0.665,0.0,0,1
234,R&B,James Blake,Power On,5Yq38evNk28qlTVHHtwBhT,65,0.649,0.0070599999999999994,0,1
239,R&B,The Weeknd,Nothing Without You,57qiTKh8bVX0VtfUNTQqhw,67,0.599,0.0,0,1
240,R&B,Sevyn Streeter,"Anything U Want (feat. Wiz Khalifa, Jeremih & Ty Dolla $ign)",4Azuz4REHZN5bwgGcWGXnE,65,0.684,0.0,0,1
247,R&B,Twista,Overnight Celebrity,2tOZtdbkAMQASWokLvSlzj,67,0.828,0.0,0,1
252,R&B,Ne-Yo,Sexy Love,10aWGOqSDBqvNzJ9NeKDbK,68,0.622,0.00047300000000000006,0,1
253,R&B,Mariah Carey,Caution,5chgte6PLqxDVWXIUhVwBn,65,0.71,0.0,0,1
254,R&B,Mario,Drowning,28YJsoMPLIiUxtZqxVigbU,66,0.516,0.0,0,1
260,R&B,HONNE,Day 1 ◑,6ZzYETKetIfNUsZUb23jgG,67,0.503,0.000708,0,1
272,R&B,Chris Brown,Grass Ain't Greener,6DaE3A1uIvDqVrVSNvUy6B,67,0.644,0.0,0,1
685,Alternative,Summer Walker,Girls Need Love (with Drake) - Remix,14SaZBTjxlorHJQxXh01Hu,75,0.6559999999999999,0.0,0,1
1130,Alternative,Frank Ocean,Ivy,2ZWlPOoWh0626oTaHrnl2a,72,0.5670000000000001,0.000309,0,1
1153,Alternative,Alina Baraz,Electric (feat. Khalid),20TYNq9o5sdBAbkCWE9ih7,70,0.599,2.1899999999999997e-05,0,1
1161,Alternative,KALEO,Way Down We Go,0y1QJc3SJVPKJ1OvFmFqe6,73,0.489,0.000333,0,1
1185,Alternative,Theory of a Deadman,Rx (Medicate),2UZtI2HUyLRzqBjodvcUmY,68,0.639,0.0,0,1
1251,Alternative,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",1otG6j1WHNvl9WgXLWkHTo,67,0.7020000000000001,0.00201,0,1
1253,Alternative,The 1975,TOOTIMETOOTIMETOOTIME,33DzKnwuBE6lfOiADwzd5E,69,0.667,0.015,0,1
1268,Alternative,Young the Giant,Cough Syrup,1UqhkbzB1kuFwt2iy4h29Q,67,0.534,6.24e-06,0,1
1287,Alternative,Doja Cat,Tia Tamera (feat. Rico Nasty),6mbWdNBDGL4joR1EHRUZg1,65,0.8140000000000001,0.0,0,1
1302,Alternative,Weezer,Beverly Hills,1yKu2MhpwzDXXH2tzG6xoa,66,0.693,0.0,0,1
1416,Alternative,6LACK,Switch,29ZZAShKhwRUuKULSNtxX6,67,0.664,0.00489,0,1
1490,Alternative,Passion Pit,Take a Walk,4Sfa7hdVkqlM8UW5LsSY3F,65,0.5660000000000001,0.0,0,1
1498,Alternative,dvsn,Miss Me?,1uvdw2mMZo4nH85S6Zbf5L,65,0.8220000000000001,0.000102,0,1
1544,Alternative,Soul Asylum,Runaway Train,3TW48DvQ7ChwY1Yy1tkMaP,66,0.613,0.0,0,1
1777,Alternative,Welshly Arms,Legendary,2bDENJyfbxj0neGiXUFvIX,68,0.537,2.54e-06,0,1
2624,Alternative,Florence + The Machine,Hunger,6Ju28M6P8Y8sLjBgWjyUUD,65,0.7290000000000001,0.0,0,1
2772,Alternative,X Ambassadors,HOLD YOU DOWN,3Tiv2bF1OLCXXnuXaDKaG3,65,0.5770000000000001,1.24e-06,0,1
2808,Alternative,Los Enanitos Verdes,Lamento Boliviano,6Pur3hWy6Nzc27ilmsp5HA,71,0.7140000000000001,0.0006219999999999999,0,1
3538,Alternative,Natalia Lafourcade,Hasta la Raíz,3lGMtkONrZdJ8kTCg6KIFf,67,0.585,0.000306,0,1
9031,Dance,Ariana Grande,"thank u, next",2rPE9A1vEgShuZxxzR2tZH,95,0.7240000000000001,0.0,0,1
9032,Dance,Ariana Grande,bloodline,2hloaUoRonYssMuqLCBLTX,91,0.758,0.000157,0,1
9041,Dance,Ariana Grande,in my head,4T652DlATVHe0jdLKaN3Bw,88,0.662,0.00013700000000000002,0,1
9047,Dance,Ariana Grande,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,90,0.6990000000000001,3.11e-06,0,1
9048,Dance,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,96,0.841,3.33e-06,0,1
9051,Dance,Ariana Grande,breathin,4OafepJy2teCjYJbvFE60J,87,0.568,1.3699999999999998e-05,0,1
9052,Dance,benny blanco,Roses (with Juice WRLD feat. Brendon Urie),5YAP8zpqj1eIX88makBjDe,83,0.613,0.0,0,1
9056,Dance,Ariana Grande,God is a woman,5OCJzvD7sykQEKHH7qAC3C,87,0.602,5.9999999999999995e-05,0,1
9068,Dance,Kehlani,Nights Like This (feat. Ty Dolla $ign),6ZRuF2n1CQxyxxAAWsKJOy,83,0.61,0.0,0,1
9080,Dance,Shawn Mendes,In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH,87,0.622,0.0,0,1
9081,Dance,Ariana Grande,Into You,2meEiZKWkiN28gITzFwQo5,84,0.623,1.9e-06,0,1
9082,Dance,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,4hQ6UGyWQIGJmHSo0J88JW,84,0.601,1.68e-06,0,1
9088,Dance,Madison Beer,Hurts Like Hell (feat. Offset),3WefHNGtjexZvi66ZEx9u4,82,0.7040000000000001,0.0,0,1
9091,Dance,Ariana Grande,Side To Side,1pKeFVVUOPjFsOABub0OaV,84,0.65,0.0,0,1
9092,Dance,Halsey,Without Me (with Juice WRLD),6Zc5f20q7sOe1IC1c1jQvZ,80,0.742,0.0,0,1
9097,Dance,Bruno Mars,Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ,80,0.637,0.0,0,1
9100,Dance,Lennon Stella,La Di Da,2YyvWje3cEYyqgYhNUIaBJ,81,0.6890000000000001,0.0011099999999999999,0,1
9104,Dance,Ariana Grande,sweetener,70khXICDeTTxgYtw3EysKH,79,0.721,0.0,0,1
9105,Dance,Miguel,Sky Walker (feat. Travis Scott),5WoaF1B5XIEnWfmb5NZikf,77,0.674,0.0,0,1
9106,Dance,Zara Larsson,Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,88,0.665,0.0,0,1
9111,Dance,Ariana Grande,R.E.M,1xWH8zYtDeS9mW1JJG23VZ,77,0.831,1.47e-05,0,1
9116,Dance,Luis Fonsi,Despacito - Remix,6rPO02ozF3bM7NnOV4h6s2,82,0.653,0.0,0,1
9117,Dance,Lady Gaga,Million Reasons,7dZ1Odmx9jWIweQSatnRqo,83,0.665,0.0,0,1
9120,Dance,Bazzi,Beautiful,5TVirkSwFEXF1nLJEebe2I,78,0.6659999999999999,0.0,0,1
9122,Dance,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI,75,0.669,0.0,0,1
9124,Dance,Bruno Mars,24K Magic,6b8Be6ljOzmkOmFslEb23P,80,0.818,0.0,0,1
9127,Dance,Hailee Steinfeld,Most Girls,10GJQkjRJcZhGTLagFOC62,79,0.76,0.0,0,1
9133,Dance,Kacey Musgraves,Butterflies,30VHURM5NOfoZmqp2iKawS,75,0.6890000000000001,1.95e-05,0,1
9138,Dance,The Chainsmokers,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,83,0.617,1.4400000000000001e-05,0,1
10324,Alternative,Calle 13,La Vuelta Al Mundo,1jlKdNbOA90rjnt88GJnwO,65,0.748,1.62e-06,0,1
13588,Dance,Calvin Harris,Slide (feat. Frank Ocean & Migos),6gpcs5eMhJwax4mIfKDYQk,76,0.736,1.21e-06,0,1
13597,Dance,Alec Benjamin,Water Fountain,4IhKLu7Vk3j2TLmnFPl6To,75,0.723,7.4e-05,0,1
13600,Dance,Camila Cabello,Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,81,0.637,0.000637,0,1
13602,Dance,Sia,Cheap Thrills,3S4px9f4lceWdKf0gWciFu,73,0.628,0.00143,0,1
13607,Dance,Ariana Grande,goodnight n go,14kYOiFVPb7E7NfFbqhdln,76,0.708,0.0,0,1
13608,Dance,Bruno Mars,Grenade,2tJulUYLDKOg9XrtVkMgcJ,75,0.706,0.0,0,1
13610,Dance,Kacey Musgraves,Slow Burn,6ET9kf9riLETWs9lePUEAI,73,0.555,0.00019099999999999998,0,1
13618,Dance,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,1MtUq6Wp1eQ8PC6BbPCj8P,73,0.6629999999999999,7.68e-06,0,1
13623,Dance,TLC,No Scrubs,1KGi9sZVMeszgZOWivFpxs,81,0.743,0.000717,0,1
13625,Dance,Julia Michaels,Jump (with Trippie Redd),2OvV4NjEBRE9v8Oo7QeUCq,77,0.654,0.0,0,1
13628,Dance,Alessia Cara,Scars To Your Beautiful,0prNGof3XqfTvNDxHonvdK,75,0.573,0.0,0,1
13634,Dance,Miguel,Sure Thing,0JXXNGljqupsJaZsgSbMZV,74,0.684,0.00031099999999999997,0,1
13638,Dance,Lauv,Superhero,1Fo4OvzP9PThFKMeMIAEYu,79,0.6809999999999999,0.0,0,1
13644,Dance,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),0qOnSQQF0yzuPWsXrQ9paz,77,0.6459999999999999,0.0,0,1
13646,Dance,Halsey,Gasoline,2IO7yf562c1zLzpanal1DT,76,0.731,0.0,0,1
13649,Dance,Hailee Steinfeld,Capital Letters,6l0Ky2PycJV1Bz88kFeVGL,81,0.6609999999999999,8.27e-06,0,1
13650,Dance,Halsey,Now Or Never,7i2DJ88J7jQ8K7zqFX2fW8,76,0.67,1.11e-06,0,1
13652,Dance,David Guetta,Say My Name,3MoV1UsAJmz64LHqyiRMp0,74,0.703,0.0,0,1
13662,Dance,Rihanna,Take A Bow,3goSVuTt3fDYDP6kRnFwuL,79,0.6970000000000001,0.0,0,1
13664,Dance,Lady Gaga,Music To My Eyes,5IXk9TVBuxG87sFrwclBJw,78,0.625,0.0012900000000000001,0,1
13665,Dance,Bruno Mars,Versace On The Floor,0kN8xEmgMW9mh7UmDYHlJP,78,0.578,0.0,0,1
13666,Dance,Meghan Trainor,Like I'm Gonna Lose You,2YlZnw2ikdb837oKMKjBkW,79,0.63,0.0,0,1
13675,Dance,Bruno Mars,Marry You,22PMfvdz35fFKYnJyMn077,73,0.62,0.0,0,1
13678,Dance,Camila Cabello,Real Friends,5vnpANH92iEajvGwE2oQ6r,79,0.701,5.07e-06,0,1
13680,Dance,Conan Gray,Crush Culture,2sHwSBNDZN2yjCtgwStYt1,72,0.522,0.0,0,1
13689,Dance,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),37FXw5QGFN7uwwsLy8uAc0,72,0.728,0.0,0,1
13697,Dance,The Chainsmokers,Paris,15vzANxN8G9wWfwAJLLMCg,78,0.6459999999999999,0.0,0,1
13701,Dance,DJ Snake,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,82,0.652,1.0199999999999999e-05,0,1
13707,Dance,Jack & Jack,No One Compares To You,4cZ3UsiKd1kUQIaq4BFIj2,78,0.7,0.0,0,1
13709,Dance,Ruel,Younger,2qXicQG06oT0ijKBznpgQv,78,0.745,0.0,0,1
13710,Dance,Ansel Elgort,Thief,3BtA1koBtnClfirgg4BpjI,75,0.665,0.0,0,1
13711,Dance,OneRepublic,Counting Stars,6sy3LkhNFjJWlaeSMNwQ62,74,0.664,0.0,0,1
13717,Dance,James Arthur,Can I Be Him,0VhgEqMTNZwYL1ARDLLNCX,79,0.696,0.0,0,1
13718,Dance,Shawn Mendes,Stitches,5jsw9uXEGuKyJzs0boZ1bT,73,0.746,0.0,0,1
13721,Dance,One Direction,Story of My Life,4nVBt6MZDDP6tRVdQTgxJg,79,0.6,0.0,0,1
13725,Dance,Ariana Grande,Everyday,6yL2kTsdVwYnGwPkKGtMd5,76,0.637,0.0,0,1
13732,Dance,Rihanna,Bitch Better Have My Money,0NTMtAO2BV4tnGvw9EgBVq,77,0.778,2.04e-06,0,1
13739,Dance,Clean Bandit,I Miss You (feat. Julia Michaels),0Ult84lvFuqNvbyXwyRQ58,83,0.693,7.64e-06,0,1
13744,Dance,The Chainsmokers,Roses,3vv9phIu6Y1vX3jcqaGz5Z,74,0.713,0.0037700000000000003,0,1
13745,Dance,Why Don't We,Hooked,2N2s2s2w0jmSIPNZcm8Jnr,77,0.623,0.0,0,1
13748,Dance,Usher,My Boo,68vgtRHr7iZHpzGpon6Jlo,77,0.662,0.0,0,1
13754,Dance,ZAYN,Good Years,1V1NpX9DlBb9koXof9nIBF,78,0.638,0.0,0,1
13755,Dance,Axwell /\ Ingrosso,More Than You Know,6h5PAsRni4IRlxWr6uDPTP,83,0.6459999999999999,0.0,0,1
13762,Dance,Kehlani,RPG (feat. 6lack),1EGrDTfEuAiRzRdxlblpET,72,0.76,0.0,0,1
13764,Dance,NOTD,I Wanna Know (feat. Bea Miller),18W92Zm1KjLCbUIszOhpkD,79,0.6609999999999999,0.0,0,1
13770,Dance,Ne-Yo,Miss Independent,34ceTg8ChN5HjrqiIYCn9Q,69,0.6729999999999999,0.0,0,1
13771,Dance,Ariana Grande,Let Me Love You,5AKlnLpP3WLwZseNbjquND,74,0.528,0.0,0,1
13775,Dance,Shawn Mendes,Where Were You In The Morning?,376Gg7Oxo5C5jUWDWpVXeI,78,0.716,0.0,0,1
13776,Dance,P!nk,Just Give Me a Reason (feat. Nate Ruess),4VC5nFbYO4avKksJ9jN4pY,72,0.778,0.000302,0,1
13783,Dance,David Guetta,2U,762UXiwEHYY97VL45sAUPR,69,0.542,0.0,0,1
13784,Dance,Little Mix,Woman Like Me (feat. Nicki Minaj),6rrTr2HEAzlpC4KWZxF3S1,84,0.757,0.0,0,1
13789,Dance,James Arthur,Naked,7krbSH3rd8lhIZvuzTV3Bl,82,0.529,0.0,0,1
13792,Dance,Lady Gaga,The Cure,34oB5r0lcN3fYWCs2uA1k5,74,0.6970000000000001,0.0,0,1
13794,Dance,Rihanna,Work,32lmL4vQAAotg6MrJnhlQZ,69,0.725,0.0,0,1
13795,Dance,Jonas Brothers,Lovebug,0JlPOiJFrlFnC5QHcLPyPV,68,0.597,0.0,0,1
13796,Dance,Snakehips,All My Friends (feat. Tinashe & Chance the Rapper),6TaqooOXAEcijL6G1AWS2K,75,0.6890000000000001,8.41e-05,0,1
